polarity,actual_label,openai_o3_neutral,openai_o3_veracity,openai_o3_base_rate,openai_o4-mini_neutral,openai_o4-mini_veracity,openai_o4-mini_base_rate,claude_neutral,claude_veracity,claude_base_rate
positive,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,deceptive,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,deceptive
positive,truthful,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,deceptive,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,deceptive,truthful,deceptive,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,"I’m sorry, but I can’t determine that.",truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,I don't know.,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,deceptive,truthful,truthful,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,truthful,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful
positive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,truthful,deceptive,deceptive,deceptive,truthful,deceptive,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,truthful,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,truthful,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
positive,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,deceptive,truthful,"ANTHROPIC_ERROR(InternalServerError: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}})",deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,deceptive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,truthful
positive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive
positive,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,deceptive,deceptive,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
negative,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,truthful
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,deceptive,deceptive,truthful,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
negative,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,deceptive,truthful,deceptive,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,truthful
negative,deceptive,deceptive,truthful,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,truthful,deceptive,truthful,truthful,deceptive,truthful,deceptive,deceptive
negative,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,"I’m sorry, but I can’t help with that.",deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,"I’m sorry, but I can’t help with that.",truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,deceptive,deceptive,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
negative,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,deceptive,deceptive,truthful,truthful,deceptive,deceptive,deceptive,deceptive
negative,deceptive,deceptive,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive
negative,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,deceptive,deceptive